system,report_date,section,kpi_text,status_name,status_symbol,source_file,primary_kpi
Q1C,2025-12-15,,Readiness of your system for SAP Remote Service has not been verified by running report RTCCTOOL.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Expensive SQL statement causing unnecessary load identified.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,SAP HANA database: Users with critical privilege DATA ADMIN.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,"User SAP* does not exists in client 000, potentially allowing critical logon in the future",YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,"User SAP* does not exists in other client(s) than 000, potentially allowing critical logon in the future",YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Performance Overview Q1C,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Performance Overview A1C
Q1C,2025-12-15,,Software Change and Transport Management of Q1C,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Software Change and Transport Management of A1C
Q1C,2025-12-15,,Number of Changes,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Failed Changes,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Software Configuration for Q1C,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Software Configuration for A1C
Q1C,2025-12-15,,SAP Application Release - Maintenance Phases,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Upgrade Planning
Q1C,2025-12-15,,Maintenance and Update Strategy for SAP Fiori Front-End Server,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Upgrade Planning
Q1C,2025-12-15,,Security Risk Due to Outdated Support Packages,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,Database - Maintenance Phases,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Upgrade Planning
Q1C,2025-12-15,,Operating System(s) - Maintenance Phases,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Upgrade Planning
Q1C,2025-12-15,,SAP Kernel Release,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,HANA Database Version for Q1H,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP System Operating Q1C,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP System Operating A1C
Q1C,2025-12-15,,Availability based on Collector Protocols,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Program Errors (ABAP Dumps),YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Update Errors,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Table Reorganization,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Critical Number Ranges,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Workload Distribution Q1C,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Workload by Application Module,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,DB Load Profile,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,SAP HANA Database Q1H,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA Stability and Alerts,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA Database Configuration,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA Resource Consumption,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA Workload and Performance,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,Size and Growth,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Administration,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Hardware Capacity,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Hardware Capacity
Q1C,2025-12-15,,SAP NetWeaver Gateway,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP Netwear gateway
Q1C,2025-12-15,,MetaData Cache Activation,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Logging Configuration,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Gateway Error Logs,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP Netwear gateway
Q1C,2025-12-15,,Important Periodic Jobs,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Service Data Quality and Service Readiness,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Service Data Quality and Service Readiness
Q1C,2025-12-15,,Sending EarlyWatch Alert of Q1C to SAP Backbone,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Configuring Q1C for SAP Note Assistant,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Service Preparation of Q1C,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Security,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,System Recommendations (HANA)*,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,Maintenance Status of current SAP HANA Database Revision*,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Upgrade Planning
Q1C,2025-12-15,,SAP HANA System Privilege DATA ADMIN,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA Password Policy*,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA Audit Trail*,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA SQL Trace Level*,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA Network Settings for Internal Services*,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,Activation Status and Validity of User SYSTEM,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,System Recommendations (ABAP)*,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Age of Support Packages,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Default Passwords of Standard Users,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Control of the Automatic Login User SAP**,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Protection of Passwords in Database Connections*,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,ABAP Password Policy,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,RFC Gateway Security*,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,Message Server Security*,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,"Critical authorizations, which allow to do anything",RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,"Critical authorizations, which should not be used in production",RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,"Critical authorizations, which should only see very limited use in production",YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,Fiori Checks for Q1C,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,UI Technologies checks
Q1C,2025-12-15,,SAP Fiori Cache Buster Activation,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,UI Technologies checks
Q1C,2025-12-15,,HTTP/2 Support,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,SAP Fiori Launchpad Performance - Home Page Mode,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,UI Technologies checks
Q1C,2025-12-15,,SAP Fiori Launchpad - Spaces and Pages adoption,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,UI Technologies checks
Q1C,2025-12-15,,Activated but unused ICF services in UI5 apps,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,UI Technologies checks
Q1C,2025-12-15,,Active Users (>400 steps),GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Fiori Users,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,UI Technologies checks
Q1C,2025-12-15,,Avg. Availability per Week,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Avg. Response Time in Dialog Task,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Performance Overview A1C
Q1C,2025-12-15,,Max. Dialog Steps per Hour,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Avg. Response Time at Peak Dialog Hour,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Performance Overview A1C
Q1C,2025-12-15,,Avg. Response Time in RFC Task,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Performance Overview A1C
Q1C,2025-12-15,,Max. Number of RFCs per Hour,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Avg. RFC Response Time at Peak Hour,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Performance Overview A1C
Q1C,2025-12-15,,Max. CPU Utilization on DB Server,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Hardware Capacity
Q1C,2025-12-15,,Max. CPU Utilization on Appl. Server,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Hardware Capacity
Q1C,2025-12-15,,Avg. DB Request Time in Dialog Task,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Avg. DB Request Time for RFC,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Avg. DB Request Time in Update Task,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Database Space Management,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,DB Growth Last Month,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Configuration hints for optional service data are provided.The SAP S/4HANA system Q1C is not fully prepared for delivery of futureremote services.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,Sending EarlyWatch Alert of Q1C to SAP Backbone,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Configuring Q1C for SAP Note Assistant,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Service Preparation of Q1C,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,System Q1C is prepared forSAP Support Backbone updatesending EWA data on HTTPS through Solution Manager 7.2 SMP,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Solution Manager 7.2 SMP,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,SAP-SUPPORT_PORTAL HTTPS -> SAP,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,A digitally signed SAP Note was manually uploaded last time on  22.02.2025,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Service Preparation Check (RTCCTOOL),YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Service Data Control Center of Q1C,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Hardware Utilization Data,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Addon ST-A/PI 01X_731,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,ST-PI 740 Support Package 32,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Proc. after addon impl.,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Switch on digital content verification,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Allow Online data collectors,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Addon ST-PI 740,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Collectors and TCOLL,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,EWAlert setup,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,SAP note 3482369 for DVM,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,We have listed important recommendations concerning the current software                                                          configuration on your system. These recommendations should be implemented at the earliest opportunity.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,SAP S/4HANA 2023,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,Mainstream / Extended maintenance offered by SAP is available for the next 18 months or longer.,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Upgrade Planning
Q1C,2025-12-15,,Mainstream / Extended maintenance offered by SAP will end in 6 to 18 months.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Upgrade Planning
Q1C,2025-12-15,,Mainstream / Extended maintenance offered by SAP has expired or will expire in the next 6 months.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Upgrade Planning
Q1C,2025-12-15,,SAP Fiori FES 2023 for S/4HANA,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,1.120.27,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Maintenance Status of current SAP HANA Database Revision,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Upgrade Planning
Q1C,2025-12-15,,Age of Support Packages,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,SAP HANA Database 2.0,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SUSE Linux Enterprise Server 15 (x86_64),GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,2.00.087.000,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,heiq1capp07 06,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,heiq1capp07_Q1C_06,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,We have checked your system for potential CPU or memory bottlenecks and                                                           found that the hardware is sufficient for the current workload.,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Hardware Capacity
Q1C,2025-12-15,,heiq1capp07,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,The number of work processes creating database load in parallel is not significantly high.,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,The performance of your system was analyzed with respect to the average                                                           response times and total workload. We did not detect any major problems that could affect the performance of your system.,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Performance Overview A1C
Q1C,2025-12-15,,226.153,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,691.231,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,171.480,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,970.371,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,"5.582,0",YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,The daily operation of your system was analyzed. We detected some problems that may impair system operation and stability.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Availability based on Collector Protocols,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Program Errors (ABAP Dumps),YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Update Errors,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Table Reorganization,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Critical Number Ranges,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Critical security issues were found in your system.See the information in the following sections.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,System Recommendations (HANA),GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,Maintenance Status of current SAP HANA Database Revision,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Upgrade Planning
Q1C,2025-12-15,,SAP HANA System Privilege DATA ADMIN,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA Password Policy,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA Audit Trail,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA SQL Trace Level,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,SAP HANA Network Settings for Internal Services,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,Activation Status and Validity of User SYSTEM,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,System Recommendations (ABAP),GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Age of Support Packages,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Default Passwords of Standard Users,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Control of the Automatic Login User SAP*,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Protection of Passwords in Database Connections,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,SAP HANA Database A1H
Q1C,2025-12-15,,ABAP Password Policy,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,RFC Gateway Security,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,Message Server Security,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,"Critical authorizations, which allow to do anything",RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,"Critical authorizations, which should not be used in production",RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,"Critical authorizations, which should only see very limited use in production",YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Security
Q1C,2025-12-15,,User SYSTEM is currently active and valid.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,17.01.2024,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,05.12.2023,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,26.01.2024,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,05.12.2023,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,000,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,6.281,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,000,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,6.281,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,000,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,6.281,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,000,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,6.281,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Software change management issues were found in your system.See the information in the following sections.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Software Change and Transport Management of A1C
Q1C,2025-12-15,,Number of Changes,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Failed Changes,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,
Q1C,2025-12-15,,Number of transport requests with import errors that were not resolved within one hour.,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,Software Change and Transport Management of A1C
